algorithm,map,attack,goal_x,goal_y,n,time,obstacle_x,obstacle_y,obstacle_time,obstacle_on_time
a_star,warehouse,0,-9.0,9.0,1,50.9,N/A,N/A,N/A,N/A
a_star,warehouse,0,-9.0,9.0,2,51.2,N/A,N/A,N/A,N/A
a_star,warehouse,0,-9.0,9.0,3,50.3,N/A,N/A,N/A,N/A
a_star,warehouse,0,-4.5,9.0,1,38.4,N/A,N/A,N/A,N/A
a_star,warehouse,0,-4.5,9.0,2,38.101,N/A,N/A,N/A,N/A
a_star,warehouse,0,-4.5,9.0,3,38.3,N/A,N/A,N/A,N/A
a_star,warehouse,0,0,9.0,1,39.1,N/A,N/A,N/A,N/A
a_star,warehouse,0,0,9.0,2,39.2,N/A,N/A,N/A,N/A
a_star,warehouse,0,0,9.0,3,39.799,N/A,N/A,N/A,N/A
a_star,warehouse,0,4.5,9.0,1,36.9,N/A,N/A,N/A,N/A
a_star,warehouse,0,4.5,9.0,2,36.799,N/A,N/A,N/A,N/A
a_star,warehouse,0,4.5,9.0,3,36.7,N/A,N/A,N/A,N/A
a_star,warehouse,0,9.0,9.0,1,48.3,N/A,N/A,N/A,N/A
a_star,warehouse,0,9.0,9.0,2,47.9,N/A,N/A,N/A,N/A
a_star,warehouse,0,9.0,9.0,3,48.301,N/A,N/A,N/A,N/A
a_star,warehouse,0,-9.0,4.5,1,40.1,N/A,N/A,N/A,N/A
a_star,warehouse,0,-9.0,4.5,2,41.201,N/A,N/A,N/A,N/A
a_star,warehouse,0,-9.0,4.5,3,41.299,N/A,N/A,N/A,N/A
a_star,warehouse,0,-4.5,4.6,1,26.1,N/A,N/A,N/A,N/A
a_star,warehouse,0,-4.5,4.6,2,26.7,N/A,N/A,N/A,N/A
a_star,warehouse,0,-4.5,4.6,3,26.6,N/A,N/A,N/A,N/A
a_star,warehouse,0,0,4.5,1,28.4,N/A,N/A,N/A,N/A
a_star,warehouse,0,0,4.5,2,28.6,N/A,N/A,N/A,N/A
a_star,warehouse,0,0,4.5,3,28.5,N/A,N/A,N/A,N/A
a_star,warehouse,0,4.5,4.5,1,22.1,N/A,N/A,N/A,N/A
a_star,warehouse,0,4.5,4.5,2,22.201,N/A,N/A,N/A,N/A
a_star,warehouse,0,4.5,4.5,3,22.2,N/A,N/A,N/A,N/A
a_star,warehouse,0,9.0,4.5,1,59.801,N/A,N/A,N/A,N/A
a_star,warehouse,0,9.0,4.5,2,59,N/A,N/A,N/A,N/A
a_star,warehouse,0,9.0,4.5,3,59.7,N/A,N/A,N/A,N/A
a_star,warehouse,0,-9.0,0,1,43.2,N/A,N/A,N/A,N/A
a_star,warehouse,0,-9.0,0,2,43,N/A,N/A,N/A,N/A
a_star,warehouse,0,-9.0,0,3,43.1,N/A,N/A,N/A,N/A
a_star,warehouse,0,-4.0,0,1,23.4,N/A,N/A,N/A,N/A
a_star,warehouse,0,-4.0,0,2,23.9,N/A,N/A,N/A,N/A
a_star,warehouse,0,-4.0,0,3,23.901,N/A,N/A,N/A,N/A
a_star,warehouse,0,4.5,0,1,15,N/A,N/A,N/A,N/A
a_star,warehouse,0,4.5,0,2,15,N/A,N/A,N/A,N/A
a_star,warehouse,0,4.5,0,3,14.9,N/A,N/A,N/A,N/A
a_star,warehouse,0,9.0,0,1,74.601,N/A,N/A,N/A,N/A
a_star,warehouse,0,9.0,0,2,74.6,N/A,N/A,N/A,N/A
a_star,warehouse,0,9.0,0,3,74.701,N/A,N/A,N/A,N/A
a_star,warehouse,0,-9.1,-4.5,1,42.9,N/A,N/A,N/A,N/A
a_star,warehouse,0,-9.1,-4.5,2,42.9,N/A,N/A,N/A,N/A
a_star,warehouse,0,-9.1,-4.5,3,43,N/A,N/A,N/A,N/A
a_star,warehouse,0,-4.0,-4.5,1,24.2,N/A,N/A,N/A,N/A
a_star,warehouse,0,-4.0,-4.5,2,24,N/A,N/A,N/A,N/A
a_star,warehouse,0,-4.0,-4.5,3,24.2,N/A,N/A,N/A,N/A
a_star,warehouse,0,0,-4.5,1,16.4,N/A,N/A,N/A,N/A
a_star,warehouse,0,0,-4.5,2,16.4,N/A,N/A,N/A,N/A
a_star,warehouse,0,0,-4.5,3,16.3,N/A,N/A,N/A,N/A
a_star,warehouse,0,9.0,-4.5,1,62.4,N/A,N/A,N/A,N/A
a_star,warehouse,0,9.0,-4.5,2,62.2,N/A,N/A,N/A,N/A
a_star,warehouse,0,9.0,-4.5,3,62.1,N/A,N/A,N/A,N/A
a_star,warehouse,0,-9.0,-8.8,1,52.799,N/A,N/A,N/A,N/A
a_star,warehouse,0,-9.0,-8.8,2,52.7,N/A,N/A,N/A,N/A
a_star,warehouse,0,-9.0,-8.8,3,52.5,N/A,N/A,N/A,N/A
a_star,warehouse,0,-4.5,-9.0,1,39.4,N/A,N/A,N/A,N/A
a_star,warehouse,0,-4.5,-9.0,2,39.5,N/A,N/A,N/A,N/A
a_star,warehouse,0,-4.5,-9.0,3,39.8,N/A,N/A,N/A,N/A
a_star,warehouse,0,-0.1,-9.0,1,31.799,N/A,N/A,N/A,N/A
a_star,warehouse,0,-0.1,-9.0,2,31.7,N/A,N/A,N/A,N/A
a_star,warehouse,0,-0.1,-9.0,3,31.7,N/A,N/A,N/A,N/A
a_star,warehouse,0,4.5,-9.0,1,39.7,N/A,N/A,N/A,N/A
a_star,warehouse,0,4.5,-9.0,2,39.5,N/A,N/A,N/A,N/A
a_star,warehouse,0,4.5,-9.0,3,39.599,N/A,N/A,N/A,N/A
a_star,warehouse,0,9.0,-9.0,1,54.7,N/A,N/A,N/A,N/A
a_star,warehouse,0,9.0,-9.0,2,54.7,N/A,N/A,N/A,N/A
a_star,warehouse,0,9.0,-9.0,3,54.7,N/A,N/A,N/A,N/A
a_star,warehouse,1,-9.0,9.0,1,79.2,-2.25,2.55,9.594,1
a_star,warehouse,1,-9.0,9.0,2,80.199,-2.25,2.55,9.429,1
a_star,warehouse,1,-9.0,9.0,3,78.2,-2.3,2.6,9.631,1
a_star,warehouse,1,-4.5,9.0,1,72.8,-3.0,3.8,3.577,1
a_star,warehouse,1,-4.5,9.0,2,62.501,-3.0,3.8,4.032,1
a_star,warehouse,1,-4.5,9.0,3,62.4,-3.0,3.8,4.202,1
a_star,warehouse,1,0,9.0,1,42.8,-1.35,7.9,7.126,1
a_star,warehouse,1,0,9.0,2,43.3,-1.25,8.0,6.695,1
a_star,warehouse,1,0,9.0,3,42.5,-1.35,7.9,6.927,1
a_star,warehouse,1,4.5,9.0,1,39.9,3.1,3.2,3.6,1
a_star,warehouse,1,4.5,9.0,2,40.2,3.1,3.2,3.743,1
a_star,warehouse,1,4.5,9.0,3,40.3,3.1,3.2,3.668,1
a_star,warehouse,1,9.0,9.0,1,52.599,5.5,8.45,11.571,1
a_star,warehouse,1,9.0,9.0,2,51.9,5.5,8.45,11.541,1
a_star,warehouse,1,9.0,9.0,3,52.1,5.5,8.45,11.49,1
a_star,warehouse,1,-9.0,4.5,1,63.3,-2.3,2.6,4.124,1
a_star,warehouse,1,-9.0,4.5,2,65.6,-2.3,2.6,4.106,1
a_star,warehouse,1,-9.0,4.5,3,64.4,-2.3,2.6,4.09,1
a_star,warehouse,1,-4.5,4.6,1,55.1,-3.0,3.4,1.077,1
a_star,warehouse,1,-4.5,4.6,2,62.4,-3.0,3.4,1.127,1
a_star,warehouse,1,-4.5,4.6,3,69.799,-3.0,3.4,1.074,1
a_star,warehouse,1,0,4.5,1,52.8,-1.25,4.45,2.177,1
a_star,warehouse,1,0,4.5,2,34.4,-1.25,4.45,2.138,1
a_star,warehouse,1,0,4.5,3,34.2,-1.25,4.45,2.121,1
a_star,warehouse,1,4.5,4.5,1,25.1,3.25,3.35,0.464,1
a_star,warehouse,1,4.5,4.5,2,24.7,3.25,3.35,0.463,1
a_star,warehouse,1,4.5,4.5,3,24.9,3.25,3.35,0.456,1
a_star,warehouse,1,9.0,4.5,1,65.4,5.45,8.45,28.262,1
a_star,warehouse,1,9.0,4.5,2,65.201,5.45,8.45,28.519,1
a_star,warehouse,1,9.0,4.5,3,64.7,5.45,8.45,28.191,1
a_star,warehouse,1,-9.0,0,1,58.5,-8.65,2.15,9.615,1
a_star,warehouse,1,-9.0,0,2,58.401,-8.65,2.15,9.746,1
a_star,warehouse,1,-9.0,0,3,59.1,-8.65,2.15,9.635,1
a_star,warehouse,1,-4.0,0,1,36.401,-2.65,2.05,1.162,1
a_star,warehouse,1,-4.0,0,2,35.5,-2.65,2.05,1.134,1
a_star,warehouse,1,-4.0,0,3,35.6,-2.65,2.05,1.161,1
a_star,warehouse,1,4.5,0,1,19.8,3.25,0.0,0.228,1
a_star,warehouse,1,4.5,0,2,19.4,3.25,0.0,0.219,1
a_star,warehouse,1,4.5,0,3,19.9,3.25,0.0,0.22,1
a_star,warehouse,1,9.0,0,1,74.5,7.7,8.45,61.665,0
a_star,warehouse,1,9.0,0,2,74.6,7.7,8.45,61.413,0
a_star,warehouse,1,9.0,0,3,74.7,7.7,8.45,60.81,0
a_star,warehouse,1,-9.1,-4.5,1,65.9,-8.85,-3.3,11.942,1
a_star,warehouse,1,-9.1,-4.5,2,65.6,-8.85,-3.3,12.015,1
a_star,warehouse,1,-9.1,-4.5,3,65.5,-8.85,-3.3,11.986,1
a_star,warehouse,1,-4.0,-4.5,1,50.1,-2.85,-3.4,1.634,1
a_star,warehouse,1,-4.0,-4.5,2,50.8,-2.85,-3.4,1.589,1
a_star,warehouse,1,-4.0,-4.5,3,50.701,-2.85,-3.4,1.565,1
a_star,warehouse,1,0,-4.5,1,114,-0.1,-3.35,0.159,1
a_star,warehouse,1,0,-4.5,2,106.901,-0.1,-3.35,0.144,1
a_star,warehouse,1,0,-4.5,3,110.2,-0.1,-3.35,0.154,1
a_star,warehouse,1,9.0,-4.5,1,62.4,2.85,-7.85,33.112,0
a_star,warehouse,1,9.0,-4.5,2,62.2,2.95,-7.95,33.194,0
a_star,warehouse,1,9.0,-4.5,3,62.3,2.85,-7.85,32.972,0
a_star,warehouse,1,-9.0,-8.8,1,57.7,-3.55,-3.1,9.61,1
a_star,warehouse,1,-9.0,-8.8,2,57.599,-3.55,-3.1,9.842,1
a_star,warehouse,1,-9.0,-8.8,3,57.4,-3.55,-3.1,9.665,1
a_star,warehouse,1,-4.5,-9.0,1,64,-0.5,-1.9,3.931,1
a_star,warehouse,1,-4.5,-9.0,2,65.1,-0.5,-1.9,3.913,1
a_star,warehouse,1,-4.5,-9.0,3,64.1,-0.5,-1.9,3.857,1
a_star,warehouse,1,-0.1,-9.0,1,63.899,-0.1,-2.2,1.678,1
a_star,warehouse,1,-0.1,-9.0,2,97.9,-0.1,-2.2,1.71,1
a_star,warehouse,1,-0.1,-9.0,3,64,-0.1,-2.2,1.646,1
a_star,warehouse,1,4.5,-9.0,1,46.5,2.75,-7.7,7.224,1
a_star,warehouse,1,4.5,-9.0,2,46.8,2.75,-7.7,7.126,1
a_star,warehouse,1,4.5,-9.0,3,46.499,2.75,-7.7,7.111,1
a_star,warehouse,1,9.0,-9.0,1,61.2,2.75,-7.7,18.835,1
a_star,warehouse,1,9.0,-9.0,2,61.3,2.75,-7.7,18.807,1
a_star,warehouse,1,9.0,-9.0,3,61.3,2.75,-7.7,19.046,1
